NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 16:35:35.898	233097.48412750
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
43	0.42000	209.597	-60.786	335.977	199.278	-56.666	600.835	151.826	163.657	508.570	119.325	223.213	222.632	100.443	249.181	80.791
44	0.43000	209.751	-60.849	336.090	199.111	-56.669	600.971	151.862	163.351	508.462	118.998	224.038	223.188	99.545	251.012	81.471
45	0.44000	209.867	-60.928	336.208	198.947	-56.681	601.134	151.901	162.993	508.405	118.774	225.025	223.803	98.546	253.189	82.381
46	0.45000	209.983	-61.007	336.314	198.768	-56.739	601.288	152.005	162.643	508.426	118.600	226.192	224.553	97.535	255.522	83.390
47	0.46000	210.048	-61.150	336.396	198.594	-56.836	601.401	152.193	162.246	508.457	118.484	227.556	225.415	96.665	258.035	84.564
48	0.47000	210.083	-61.319	336.458	198.447	-56.975	601.485	152.458	161.878	508.549	118.399	229.097	226.384	95.999	260.822	85.810
49	0.48000	210.178	-61.434	336.531	198.317	-57.193	601.572	152.783	161.439	508.634	118.355	230.907	227.510	95.640	263.962	87.209
50	0.49000	210.321	-61.515	336.646	198.219	-57.429	601.651	153.178	160.988	508.779	118.306	232.922	228.734	95.574	267.491	88.733
51	0.50000	210.420	-61.669	336.711	198.146	-57.691	601.717	153.580	160.526	508.909	118.272	235.161	230.074	95.742	271.423	90.490
52	0.51000	210.494	-61.822	336.780	198.079	-57.979	601.786	154.012	160.023	509.077	118.219	237.622	231.579	95.990	275.718	92.414
53	0.52000	210.525	-62.048	336.801	198.016	-58.263	601.844	154.446	159.491	509.269	118.127	240.285	233.209	96.077	280.273	94.570
54	0.53000	210.594	-62.258	336.854	197.955	-58.574	601.908	154.913	158.946	509.470	117.965	243.122	234.947	95.946	285.237	96.984
55	0.54000	210.662	-62.468	336.906	197.911	-58.824	601.990	155.360	158.415	509.696	117.780	246.145	236.907	95.379	290.471	99.627
56	0.55000	210.825	-62.637	337.021	197.842	-59.102	602.087	155.850	157.866	509.991	117.617	249.354	239.007	94.610	296.001	102.566
57	0.56000	210.859	-62.901	337.029	197.779	-59.364	602.177	156.347	157.324	510.358	117.386	252.662	241.295	93.641	301.660	105.673
58	0.57000	210.945	-63.132	337.086	197.733	-59.693	602.247	156.896	156.720	510.747	117.127	256.115	243.738	92.715	307.519	109.096
59	0.58000	211.061	-63.335	337.161	197.729	-60.043	602.299	157.463	156.120	511.174	116.886	259.677	246.389	91.996	313.708	112.794
60	0.59000	211.152	-63.605	337.209	197.727	-60.447	602.350	158.037	155.496	511.630	116.683	263.374	249.211	91.517	320.089	116.774
61	0.60000	211.273	-63.847	337.276	197.720	-60.842	602.400	158.612	154.890	512.119	116.533	267.154	252.213	91.312	326.720	121.056
62	0.61000	211.363	-64.116	337.308	197.704	-61.251	602.456	159.170	154.278	512.666	116.411	271.015	255.380	91.364	333.497	125.615
63	0.62000	211.520	-64.370	337.388	197.675	-61.655	602.528	159.696	153.638	513.241	116.484	275.022	258.794	91.535	340.320	130.388
64	0.63000	211.612	-64.639	337.423	197.628	-62.029	602.581	160.215	153.016	513.853	116.603	279.033	262.378	91.797	347.212	135.456
65	0.64000	211.705	-64.908	337.476	197.597	-62.407	602.643	160.745	152.361	514.524	116.763	283.130	266.137	91.991	354.135	140.809
66	0.65000	211.827	-65.150	337.544	197.577	-62.804	602.692	161.319	151.737	515.208	116.996	287.235	270.071	92.137	361.219	146.512
67	0.66000	211.978	-65.366	337.629	197.585	-63.230	602.717	161.922	151.059	515.949	117.218	291.319	274.163	90.815	368.264	151.527
68	0.67000	212.071	-65.605	337.682	197.607	-63.714	602.755	162.594	150.391	516.703	117.432	295.459	278.460	90.793	375.455	157.924
69	0.68000	212.135	-65.872	337.704	197.622	-64.214	602.766	163.276	149.705	517.498	117.648	299.602	282.911	90.867	382.674	164.533
70	0.69000	212.229	-66.111	337.747	197.655	-64.699	602.789	163.967	149.023	518.309	117.849	303.713	287.543	91.079	389.792	171.367
71	0.70000	212.375	-66.286	337.813	197.721	-65.217	602.793	164.615	148.325	519.152	118.086	307.833	292.362	91.451	396.836	178.364
72	0.71000	212.449	-66.534	337.829	197.786	-65.683	602.811	165.206	147.633	520.005	118.330	311.888	297.300	91.950	403.748	185.557
73	0.72000	212.453	-66.824	337.802	197.890	-66.118	602.780	165.775	146.949	520.898	118.599	315.897	302.399	92.522	410.571	193.034
74	0.73000	212.532	-67.013	337.808	197.972	-66.520	602.775	166.310	146.274	521.834	118.865	319.791	307.691	93.086	417.287	200.794
75	0.74000	212.639	-67.175	337.842	198.079	-66.873	602.749	166.858	145.647	522.830	119.189	323.618	313.103	93.547	423.922	208.888
76	0.75000	212.719	-67.336	337.867	198.172	-67.234	602.734	167.401	145.029	523.864	119.547	327.349	318.590	93.947	430.442	217.231
77	0.76000	212.733	-67.511	337.859	198.267	-67.605	602.708	168.024	144.412	524.908	119.938	331.032	324.303	94.332	436.790	225.768
78	0.77000	212.761	-67.639	337.857	198.362	-68.002	602.684	168.637	143.713	525.935	120.320	334.636	330.188	94.779	442.933	234.441
79	0.78000	212.810	-67.729	337.872	198.455	-68.427	602.654	169.258	142.979	526.987	120.767	338.103	336.116	95.372	448.886	243.251
80	0.79000	212.879	-67.811	337.885	198.542	-68.841	602.627	169.870	142.275	528.088	121.255	341.427	342.082	96.060	454.584	252.146
81	0.80000	212.920	-67.892	337.900	198.636	-69.226	602.608	170.439	141.577	529.266	121.731	344.772	348.391	96.853	460.074	261.181
82	0.81000	212.971	-67.954	337.935	198.697	-69.561	602.602	170.972	140.888	530.489	122.229	347.952	354.763	97.655	465.353	270.346
83	0.82000	213.005	-67.996	337.968	198.749	-69.897	602.581	171.562	140.185	531.711	122.773	350.905	361.102	98.459	470.407	279.639
84	0.83000	213.012	-68.035	337.964	198.799	-70.246	602.567	172.172	139.461	532.939	123.367	353.738	367.507	99.310	475.244	289.079
85	0.84000	213.028	-68.056	337.978	198.848	-70.585	602.542	172.818	138.699	534.120	124.004	356.407	373.965	100.190	479.853	298.571
86	0.85000	213.095	-68.041	338.012	198.907	-70.930	602.507	173.520	137.902	535.359	124.659	358.905	380.490	101.112	484.196	308.116
87	0.86000	213.090	-68.099	337.997	198.943	-71.220	602.499	174.163	137.069	536.635	125.381	361.264	387.113	102.166	488.321	317.732
88	0.87000	213.156	-68.084	338.031	198.976	-71.460	602.504	174.778	136.230	538.019	126.129	363.479	393.789	103.305	492.143	327.414
89	0.88000	213.189	-68.030	338.073	199.003	-71.673	602.483	175.385	135.384	539.516	126.917	365.528	400.568	104.516	495.751	337.179
90	0.89000	213.196	-67.944	338.098	199.030	-71.822	602.440	175.956	134.518	541.027	127.703	367.451	407.421	105.749	499.103	346.999
91	0.90000	213.215	-67.811	338.151	199.064	-71.977	602.382	176.551	133.635	542.535	128.499	369.207	414.322	107.058	502.230	356.845
92	0.91000	213.191	-67.655	338.179	199.116	-72.151	602.325	177.238	132.693	543.979	129.301	370.816	421.237	108.422	505.199	366.780
93	0.92000	213.156	-67.518	338.197	199.172	-72.339	602.283	177.924	131.692	545.348	130.156	372.305	428.179	109.814	507.944	376.746
94	0.93000	213.112	-67.371	338.225	199.209	-72.549	602.254	178.607	130.726	546.690	131.027	373.688	435.122	111.208	510.464	386.787
95	0.94000	213.107	-67.208	338.277	199.262	-72.751	602.209	179.275	129.753	548.016	131.879	374.978	442.082	112.627	512.789	396.859
96	0.95000	213.063	-67.060	338.278	199.309	-72.930	602.188	179.898	128.805	549.318	132.733	376.126	449.068	114.065	514.950	406.951
97	0.96000	213.046	-66.915	338.305	199.342	-73.111	602.140	180.431	127.918	550.599	133.563	377.181	456.051	115.473	516.919	417.036
98	0.97000	213.032	-66.740	338.341	199.374	-73.243	602.112	180.935	127.082	551.876	134.354	378.133	463.037	116.851	518.682	427.102
99	0.98000	212.991	-66.564	338.365	199.392	-73.342	602.087	181.453	126.222	553.153	135.120	378.925	470.045	118.187	520.277	437.170
100	0.99000	212.929	-66.397	338.377	199.388	-73.436	602.067	181.987	125.366	554.416	135.898	379.630	477.015	119.479	521.652	447.184
101	1.00000	212.891	-66.191	338.397	199.384	-73.531	602.048	182.510	124.531	555.660	136.651	380.179	483.940	120.769	522.863	457.182
102	1.01000	212.860	-65.997	338.431	199.381	-73.638	602.026	183.041	123.644	556.836	137.485	380.609	490.809	122.064	523.847	467.093
103	1.02000	212.849	-65.793	338.461	199.352	-73.758	602.006	183.574	122.746	557.990	138.380	380.878	497.587	123.454	524.636	476.924
104	1.03000	212.800	-65.607	338.485	199.331	-73.914	601.985	184.151	121.831	559.122	139.341	381.029	504.271	124.981	525.182	486.572
105	1.04000	212.733	-65.400	338.506	199.301	-74.048	601.989	184.710	120.960	560.248	140.384	381.012	510.875	126.625	525.536	496.040
106	1.05000	212.712	-65.187	338.546	199.273	-74.181	601.981	185.302	120.039	561.356	141.475	380.880	517.370	128.402	525.679	505.367
107	1.06000	212.652	-65.020	338.560	199.256	-74.308	601.979	185.899	119.113	562.410	142.551	380.636	523.718	130.204	525.613	514.525
108	1.07000	212.621	-64.825	338.605	199.247	-74.433	601.980	186.524	118.175	563.464	143.646	380.262	529.978	132.084	525.409	523.553
109	1.08000	212.621	-64.604	338.647	199.236	-74.571	601.974	187.168	117.294	564.507	144.759	379.808	536.127	133.936	525.028	532.443
110	1.09000	212.615	-64.440	338.682	199.230	-74.696	601.965	187.768	116.378	565.516	145.846	379.254	542.181	135.773	524.485	541.198
111	1.10000	212.609	-64.276	338.718	199.211	-74.849	601.976	188.402	115.490	566.512	146.948	378.589	548.157	137.574	523.817	549.815
112	1.11000	212.574	-64.139	338.736	199.182	-74.983	601.972	189.039	114.620	567.467	148.065	377.813	553.999	139.308	522.986	558.298
113	1.12000	212.540	-64.002	338.754	199.163	-75.086	601.962	189.670	113.777	568.390	149.187	376.932	559.739	141.047	522.019	566.657
114	1.13000	212.518	-63.818	338.803	199.135	-75.191	601.956	190.347	112.954	569.288	150.300	376.011	565.394	142.805	520.968	574.869
115	1.14000	212.483	-63.681	338.834	199.122	-75.303	601.935	189.972	111.786	569.510	151.479	374.992	570.898	144.617	519.753	582.879
116	1.15000	212.497	-63.509	338.883	199.102	-75.431	601.916	190.457	110.905	570.233	152.658	373.891	576.306	146.486	518.450	590.720
117	1.16000	212.482	-63.364	338.925	199.073	-75.565	601.911	190.953	110.042	570.949	153.850	372.760	581.607	148.364	517.020	598.384
118	1.17000	212.457	-63.238	338.960	199.026	-75.706	601.910	191.376	109.134	571.616	155.039	371.539	586.792	150.260	515.469	605.876
119	1.18000	212.438	-63.122	339.007	198.975	-75.823	601.910	191.818	108.294	572.304	156.241	370.260	591.918	152.203	513.793	613.260
120	1.19000	212.421	-63.006	339.042	198.929	-75.939	601.903	192.225	107.450	572.974	157.402	368.934	596.978	154.118	511.968	620.501
121	1.20000	212.405	-62.889	339.066	198.891	-76.024	601.902	192.600	106.602	573.626	158.583	367.559	602.016	155.984	510.073	627.677
122	1.21000	212.387	-62.773	339.099	198.870	-76.086	601.899	192.950	105.754	574.262	159.770	366.122	607.014	157.817	508.081	634.733
