NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:19:18.417	235720.00290790
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
43	0.42000	212.998	-32.511	334.217	216.738	-22.460	599.420	132.716	195.093	509.039	0.000	0.000	0.000	0.000	0.000	0.000
44	0.43000	213.082	-32.396	334.285	216.654	-22.206	599.520	131.888	195.173	508.990	0.000	0.000	0.000	0.000	0.000	0.000
45	0.44000	213.147	-32.288	334.368	216.589	-21.998	599.592	131.110	195.290	508.983	0.000	0.000	0.000	0.000	0.000	0.000
46	0.45000	213.244	-32.127	334.456	216.517	-21.769	599.675	130.319	195.405	508.986	0.000	0.000	0.000	0.000	0.000	0.000
47	0.46000	213.349	-31.975	334.566	216.472	-21.542	599.717	129.560	195.509	508.965	0.000	0.000	0.000	0.000	0.000	0.000
48	0.47000	213.456	-31.795	334.671	216.461	-21.364	599.739	128.839	195.636	508.953	0.000	0.000	0.000	0.000	0.000	0.000
49	0.48000	213.514	-31.648	334.732	216.440	-21.152	599.768	128.087	195.717	508.932	0.000	0.000	0.000	0.000	0.000	0.000
50	0.49000	213.591	-31.493	334.792	216.438	-20.925	599.805	127.352	195.840	508.942	0.000	0.000	0.000	0.000	0.000	0.000
51	0.50000	213.668	-31.337	334.849	216.414	-20.701	599.825	126.649	195.952	508.933	0.000	0.000	0.000	0.000	0.000	0.000
52	0.51000	213.786	-31.138	334.914	216.403	-20.503	599.864	125.921	196.058	508.923	0.000	0.000	0.000	0.000	0.000	0.000
53	0.52000	213.884	-30.946	334.966	216.394	-20.287	599.913	125.210	196.198	508.985	0.000	0.000	0.000	0.000	0.000	0.000
54	0.53000	214.000	-30.746	335.024	216.395	-20.047	599.950	124.508	196.310	509.002	0.000	0.000	0.000	0.000	0.000	0.000
55	0.54000	214.114	-30.574	335.051	216.413	-19.834	599.972	123.847	196.423	509.008	0.000	0.000	0.000	0.000	0.000	0.000
56	0.55000	214.265	-30.386	335.094	216.468	-19.650	599.982	123.262	196.551	509.017	0.000	0.000	0.000	0.000	0.000	0.000
57	0.56000	214.415	-30.196	335.117	216.553	-19.441	599.988	122.630	196.639	509.037	0.000	0.000	0.000	0.000	0.000	0.000
58	0.57000	214.565	-30.006	335.143	216.653	-19.242	599.964	122.083	196.800	509.084	0.000	0.000	0.000	0.000	0.000	0.000
59	0.58000	214.722	-29.826	335.155	216.791	-19.063	599.956	121.495	196.891	509.086	0.000	0.000	0.000	0.000	0.000	0.000
