NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:38:16.657	236858.24264780
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	215.027	-5.261	335.965	219.503	-1.804	602.189	153.846	216.220	522.689	139.028	259.773	226.001	114.191	272.992	99.510
2	0.01000	214.930	-5.260	335.974	219.387	-1.876	602.193	154.052	216.202	522.764	139.009	260.354	226.158	113.966	273.499	99.672
3	0.02000	214.862	-5.236	335.994	219.261	-1.940	602.204	154.143	216.221	522.806	139.032	260.837	226.316	113.875	273.967	99.812
4	0.03000	214.767	-5.207	336.000	219.130	-1.962	602.212	154.137	216.281	522.836	139.094	261.233	226.468	113.964	274.378	99.928
5	0.04000	214.696	-5.117	336.038	218.990	-1.971	602.225	154.083	216.361	522.854	139.206	261.489	226.572	114.191	274.714	99.991
6	0.05000	214.617	-5.015	336.071	218.833	-1.936	602.237	154.012	216.454	522.898	139.349	261.624	226.662	114.526	274.984	100.064
7	0.06000	214.552	-4.866	336.130	218.682	-1.882	602.257	153.930	216.544	522.959	139.541	261.670	226.722	114.919	275.139	100.083
8	0.07000	214.425	-4.796	336.119	218.538	-1.791	602.302	153.852	216.617	522.997	139.745	261.620	226.759	115.308	275.161	100.035
9	0.08000	214.308	-4.706	336.180	218.378	-1.711	602.359	153.742	216.718	523.042	139.909	261.546	226.749	115.680	275.203	99.972
10	0.09000	214.217	-4.624	336.196	218.240	-1.654	602.379	153.670	216.788	523.058	140.075	261.345	226.701	115.983	275.047	99.921
11	0.10000	214.138	-4.523	336.232	218.083	-1.596	602.410	153.615	216.852	523.063	140.240	261.106	226.616	116.221	274.796	99.863
12	0.11000	214.058	-4.422	336.277	217.941	-1.533	602.428	153.594	216.904	523.039	140.387	260.854	226.523	116.396	274.517	99.781
13	0.12000	213.976	-4.347	336.287	217.829	-1.485	602.444	153.612	216.951	523.012	140.519	260.617	226.432	116.533	274.281	99.743
14	0.13000	213.883	-4.292	336.305	217.717	-1.448	602.457	153.668	216.949	522.973	140.652	260.418	226.355	116.655	274.090	99.692
15	0.14000	213.777	-4.282	336.303	217.604	-1.433	602.460	153.774	216.953	522.951	140.755	260.274	226.297	116.741	273.969	99.642
16	0.15000	213.705	-4.284	336.309	217.510	-1.469	602.458	153.914	216.916	522.926	140.873	260.203	226.263	116.829	273.933	99.616
17	0.16000	213.594	-4.332	336.283	217.453	-1.518	602.457	154.073	216.842	522.883	140.980	260.208	226.249	116.897	273.978	99.597
18	0.17000	213.520	-4.363	336.273	217.387	-1.583	602.455	154.238	216.779	522.835	141.052	260.268	226.244	116.930	274.079	99.592
19	0.18000	213.462	-4.416	336.266	217.340	-1.676	602.452	154.377	216.723	522.798	141.078	260.395	226.263	116.886	274.242	99.587
20	0.19000	213.411	-4.478	336.234	217.298	-1.768	602.455	154.496	216.656	522.747	141.059	260.570	226.282	116.814	274.437	99.598
21	0.20000	213.371	-4.521	336.239	217.260	-1.862	602.445	154.592	216.589	522.698	141.012	260.757	226.312	116.706	274.686	99.609
22	0.21000	213.302	-4.590	336.208	217.211	-1.964	602.448	154.683	216.551	522.654	140.960	260.965	226.346	116.614	274.888	99.625
23	0.22000	213.252	-4.652	336.186	217.157	-2.066	602.436	154.754	216.494	522.576	140.910	261.179	226.395	116.510	275.110	99.635
24	0.23000	213.201	-4.713	336.160	217.100	-2.165	602.435	154.804	216.448	522.437	140.850	261.370	226.425	116.416	275.345	99.670
25	0.24000	213.171	-4.738	336.166	217.041	-2.235	602.442	154.863	216.442	522.299	140.792	261.546	226.446	116.332	275.557	99.675
26	0.25000	213.116	-4.762	336.154	216.959	-2.297	602.438	154.882	216.417	522.117	140.748	261.729	226.485	116.256	275.745	99.687
27	0.26000	213.060	-4.785	336.139	216.889	-2.341	602.440	154.889	216.363	521.928	140.670	261.905	226.522	116.149	275.911	99.699
28	0.27000	213.004	-4.808	336.134	216.805	-2.372	602.428	154.922	216.338	521.784	140.588	262.060	226.532	116.028	276.050	99.700
29	0.28000	212.952	-4.804	336.133	216.730	-2.414	602.413	154.946	216.298	521.610	140.496	262.208	226.566	115.931	276.230	99.724
30	0.29000	212.881	-4.807	336.129	216.648	-2.434	602.388	154.948	216.232	521.382	140.412	262.374	226.608	115.841	276.380	99.720
31	0.30000	212.799	-4.828	336.107	216.588	-2.431	602.382	154.942	216.186	521.119	140.348	262.560	226.657	115.769	276.530	99.714
32	0.31000	212.745	-4.822	336.109	216.505	-2.451	602.364	154.935	216.139	520.825	140.330	262.783	226.723	115.734	276.701	99.708
